device;ano-mes;min_temp;max_temp;total_temp;min_humi;max_humi;total_humi;min_lumi;max_lumi;total_lumi;min_noise;max_noise;total_noise;min_eco2;max_eco2;total_eco2;min_etvoc;max_etvoc;total_etvoc
sirrosteste_UCS_AMV-01;2024-03;0.00;44.70;24.65;0.00;97.60;73.67;0.00;27306.20;4579.49;0.00;120.00;102.23;0.00;170.00;1.51;400.00;1481.00;410.56
sirrosteste_UCS_AMV-17;2024-03;-1405.10;406.10;-7.93;18.70;3935.00;291.71;-1.00;13220.80;943.78;56.90;120.00;85.69;0.00;3790.00;53.78;381.00;3440.00;577.60
sirrosteste_UCS_AMV-12;2024-03;20.40;38.50;24.41;30.90;68.50;55.98;0.00;27306.20;1488.10;41.60;111.40;57.08;0.00;546.00;27.56;400.00;1873.00;578.88
sirrosteste_UCS_AMV-13;2024-03;19.30;36.20;26.42;29.90;68.30;57.62;0.00;2202.90;46.52;41.20;111.00;62.24;0.00;88.00;17.88;400.00;984.00;405.75
sirrosteste_UCS_AMV-14;2024-03;22.00;40.50;26.03;27.80;73.00;61.22;0.00;27306.20;501.53;44.70;111.10;59.56;0.00;370.00;28.70;400.00;1731.00;590.34
sirrosteste_UCS_AMV-06;2024-03;13.10;32.60;23.15;37.60;100.00;71.44;0.10;1990.50;84.27;41.50;120.00;74.61;0.00;897.00;23.11;400.00;2085.00;494.94
sirrosteste_UCS_AMV-16;2024-03;19.00;33.60;27.34;39.40;72.50;57.69;0.00;8185.40;228.06;43.90;120.00;68.86;0.00;3003.00;46.68;400.00;3072.00;669.03
sirrosteste_UCS_AMV-11;2024-03;0.00;37.30;25.04;0.00;99.90;61.53;0.00;9843.50;405.22;41.60;120.00;61.87;0.00;2504.00;26.94;400.00;2833.00;536.83
sirrosteste_UCS_AMV-19;2024-03;20.50;39.50;27.27;40.00;86.80;63.37;0.00;2639.40;25.89;41.70;120.00;65.29;0.00;396.00;9.68;400.00;1754.00;413.68
sirrosteste_UCS_AMV-05;2024-03;16.60;34.80;24.81;38.80;91.00;59.95;0.00;11665.70;306.18;39.80;120.00;61.78;0.00;1161.00;33.68;400.00;2210.00;621.12
sirrosteste_UCS_AMV-21;2024-03;14.10;53.60;32.38;18.30;93.10;51.78;-1.00;25019.10;2889.19;61.00;110.70;83.56;0.00;20.00;19.28;400.00;445.00;403.70
sirrosteste_UCS_AMV-22;2024-03;20.60;35.60;28.28;37.40;89.30;66.14;0.00;7828.40;17.56;43.80;120.00;70.18;0.00;5589.00;175.08;400.00;4282.00;763.53
